FID,COUNT,SCIENTIFIC,COMMON_NAM
931,7,Lathamus discolor,Swift Parrot
931,7,Hyridella glenelgensis,Glenelg Freshwater Mussel
931,7,Litoria raniformis,Growling Grass Frog
931,7,Miniopterus orianae bassanii,Southern Bent-wing Bat
932,7,Botaurus poiciloptilus,Australasian Bittern
932,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
932,7,Anthochaera phrygia,Regent Honeyeater
932,7,Lathamus discolor,Swift Parrot
932,7,Litoria raniformis,Growling Grass Frog
932,7,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
933,7,Botaurus poiciloptilus,Australasian Bittern
933,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
933,7,Anthochaera phrygia,Regent Honeyeater
933,7,Lathamus discolor,Swift Parrot
933,7,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
933,7,Chelonia mydas,Green Turtle
933,7,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population)
934,7,Botaurus poiciloptilus,Australasian Bittern
934,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
934,7,Anthochaera phrygia,Regent Honeyeater
934,7,Lathamus discolor,Swift Parrot
934,7,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
934,7,Pseudomys novaehollandiae,New Holland Mouse
934,7,Chelonia mydas,Green Turtle
935,6,Erythrotriorchis radiatus,Red Goshawk
935,6,Anthochaera phrygia,Regent Honeyeater
935,6,Lathamus discolor,Swift Parrot
935,6,Petrogale penicillata,Brush-tailed Rock-wallaby
935,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
935,6,Pseudomys novaehollandiae,New Holland Mouse
936,6,Erythrotriorchis radiatus,Red Goshawk
936,6,Anthochaera phrygia,Regent Honeyeater
936,6,Rhodomyrtus psidioides,Native Guava
936,6,Philoria kundagungan,Mountain Frog
936,6,Petrogale penicillata,Brush-tailed Rock-wallaby
936,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
937,8,Erythrotriorchis radiatus,Red Goshawk
937,8,Anthochaera phrygia,Regent Honeyeater
937,8,Lathamus discolor,Swift Parrot
937,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
937,8,Dasyurus hallucatus,Northern Quoll
937,8,Delma torquata,Adorned Delma
937,8,Chelonia mydas,Gre
938,8,Erythrotriorchis radiatus,Red Goshawk
938,8,Anthochaera phrygia,Regent Honeyeater
938,8,Lathamus discolor,Swift Parrot
938,8,Rhodomyrtus psidioides,Native Guava
938,8,Petrogale penicillata,Brush-tailed Rock-wallaby
938,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
938,8,Dasyurus hallucatus,Northern Quoll
939,8,Erythrotriorchis radiatus,Red Goshawk
939,8,Anthochaera phrygia,Regent Honeyeater
939,8,Lathamus discolor,Swift Parrot
939,8,Rhodomyrtus psidioides,Native Guava
939,8,Phyllodes imperialis smithersi,Pink Underwing Moth
939,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
939,8,Pseudomys novaehollandiae,New Holland Mouse
939,8,Wollumbinia georgesi,Georges' Snapping Turtle
940,8,Erythrotriorchis radiatus,Red Goshawk
940,8,Lathamus discolor,Swift Parrot
940,8,Rhodomyrtus psidioides,Native Guava
940,8,Petrogale penicillata,Brush-tailed Rock-wallaby
940,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
940,8,Pseudomys novaehollandiae,New Holland Mouse
940,8,Dasyurus hallucatus,Northern Quoll
941,8,Numenius madagascariensis,Eastern Curlew
941,8,Anthochaera phrygia,Regent Honeyeater
941,8,Rhodomyrtus psidioides,Native Guava
941,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
941,8,Hippocampus whitei,White's Seahorse
941,8,Chelonia mydas,Green Turtle
941,8,Lepidochelys olivacea,Olive Ridley Turtle
942,8,Numenius madagascariensis,Eastern Curlew
942,8,Erythrotriorchis radiatus,Red Goshawk
942,8,Amytornis woodwardi,White-throated Grasswren
942,8,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
942,8,Dasyurus hallucatus,Northern Quoll
942,8,Bellatorias obiri,Arnhem Land Egernia
942,8,Chelonia mydas,Green Turtle
942,8,Pristis pristis,Freshwater Sawfish
943,6,Numenius madagascariensis,Eastern Curlew
943,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
943,6,Dasyurus hallucatus,Northern Quoll
943,6,Chelonia mydas,Green Turtle
943,6,Lepidochelys olivacea,Olive Ridley Turtle
943,6,Pristis pristis,Freshwater Sawfish
944,6,Numenius madagascariensis,Eastern Curlew
944,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
944,6,Notomys aquilo,Northern Hopping-mouse
944,6,Dasyurus hallucatus,Northern Quoll
944,6,Chelonia mydas,Green Turtle
944,6,Lepidochelys olivacea,Olive Ridley Turtle
945,6,Polytelis alexandrae,Princess Parrot
945,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
945,6,Dasyurus hallucatus,Northern Quoll
945,6,Chelonia mydas,Green Turtle
945,6,Lepidochelys olivacea,Olive Ridley Turtle
945,6,Aipysurus apraefrontalis,Short-nosed Seasnake
946,6,Polytelis alexandrae,Princess Parrot
946,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
946,6,Dasyurus hallucatus,Northern Quoll
946,6,Chelonia mydas,Green Turtle
946,6,Lepidochelys olivacea,Olive Ridley Turtle
946,6,Pristis pristis,Freshwater Sawfish
947,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
947,6,Anthochaera phrygia,Regent Honeyeater
947,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
947,6,Hippocampus whitei,White's Seahorse
947,6,Chelonia mydas,Green Turtle
947,6,Carcharias taurus (east coast population),Grey Nurse Shark (east coast
948,7,Botaurus poiciloptilus,Australasian Bittern
948,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
948,7,Neophema chrysogaster,Orange-bellied Parrot
948,7,Pedionomus torquatus,Plains-wanderer
948,7,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
948,7,Hyridella glenelgensis,Glenelg Freshwater Mussel
948,7,Miniopterus orianae bassanii,Southern Bent-wing Bat
949,7,Botaurus poiciloptilus,Australasian Bittern
949,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
949,7,Neophema chrysogaster,Orange-bellied Parrot
949,7,Pedionomus torquatus,Plains-wanderer
949,7,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
949,7,Litoria raniformis,Growling Grass Frog
949,7,Miniopterus orianae bassanii,Southern B
950,7,Botaurus poiciloptilus,Australasian Bittern
950,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
950,7,Neophema chrysogaster,Orange-bellied Parrot
950,7,Pedionomus torquatus,Plains-wanderer
950,7,Lathamus discolor,Swift Parrot
950,7,Litoria raniformis,Growling Grass Frog
950,7,Miniopterus orianae bassanii,Southern Bent-wing Bat
951,7,Botaurus poiciloptilus,Australasian Bittern
951,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
951,7,Neophema chrysogaster,Orange-bellied Parrot
951,7,Pedionomus torquatus,Plains-wanderer
951,7,Lathamus discolor,Swift Parrot
951,7,Litoria raniformis,Growling Grass Frog
951,7,Petrogale penicillata,Brush-tailed Rock-wallaby
952,7,Botaurus poiciloptilus,Australasian Bittern
952,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
952,7,Neophema chrysogaster,Orange-bellied Parrot
952,7,Pedionomus torquatus,Plains-wanderer
952,7,Litoria raniformis,Growling Grass Frog
952,7,Neophoca cinerea,Australian Sea-lion
952,7,Miniopterus orianae bassanii,Southern
953,7,Botaurus poiciloptilus,Australasian Bittern
953,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
953,7,Pedionomus torquatus,Plains-wanderer
953,7,Anthochaera phrygia,Regent Honeyeater
953,7,Lathamus discolor,Swift Parrot
953,7,Litoria raniformis,Growling Grass Frog
953,7,Paralucia pyrodiscus lucida,Eltham Copper Butterfly
954,7,Botaurus poiciloptilus,Australasian Bittern
954,7,Zanda latirostris,Carnaby's Black Cockatoo
954,7,Atrichornis clamosus,Noisy Scrub-bird
954,7,Neophoca cinerea,Australian Sea-lion
954,7,Dasyurus geoffroii,Chuditch
954,7,Potorous gilbertii,Gilbert's Potoroo
954,7,Setonix brachyurus,Quokka
955,6,Erythrotriorchis radiatus,Red Goshawk
955,6,Lathamus discolor,Swift Parrot
955,6,Antrophyum austroqueenslandicum,Border Ranges Lined Fern
955,6,Rhodomyrtus psidioides,Native Guava
955,6,Petrogale penicillata,Brush-tailed Rock-wallaby
955,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
956,6,Erythrotriorchis radiatus,Red Goshawk
956,6,Lathamus discolor,Swift Parrot
956,6,Antrophyum austroqueenslandicum,Border Ranges Lined Fern
956,6,Rhodomyrtus psidioides,Native Guava
956,6,Phyllodes imperialis smithersi,Pink Underwing Moth
956,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
957,6,Erythrotriorchis radiatus,Red Goshawk
957,6,Anthochaera phrygia,Regent Honeyeater
957,6,Lathamus discolor,Swift Parrot
957,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
957,6,Dasyurus hallucatus,Northern Quoll
957,6,Delma torquata,Adorned Delma
958,6,Erythrotriorchis radiatus,Red Goshawk
958,6,Anthochaera phrygia,Regent Honeyeater
958,6,Lathamus discolor,Swift Parrot
958,6,Philoria kundagungan,Mountain Frog
958,6,Petrogale penicillata,Brush-tailed Rock-wallaby
958,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
959,6,Erythrotriorchis radiatus,Red Goshawk
959,6,Anthochaera phrygia,Regent Honeyeater
959,6,Lathamus discolor,Swift Parrot
959,6,Phyllodes imperialis smithersi,Pink Underwing Moth
959,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
959,6,Dasyurus hallucatus,Northern Quoll
960,6,Erythrotriorchis radiatus,Red Goshawk
960,6,Anthochaera phrygia,Regent Honeyeater
960,6,Lathamus discolor,Swift Parrot
960,6,Rhodomyrtus psidioides,Native Guava
960,6,Petrogale penicillata,Brush-tailed Rock-wallaby
960,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
961,6,Erythrotriorchis radiatus,Red Goshawk
961,6,Anthochaera phrygia,Regent Honeyeater
961,6,Lathamus discolor,Swift Parrot
961,6,Rhodomyrtus psidioides,Native Guava
961,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
961,6,Chelonia mydas,Green Turtle
962,8,Botaurus poiciloptilus,Australasian Bittern
962,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
962,8,Neophema chrysogaster,Orange-bellied Parrot
962,8,Pedionomus torquatus,Plains-wanderer
962,8,Anthochaera phrygia,Regent Honeyeater
962,8,Lathamus discolor,Swift Parrot
962,8,Litoria raniformis,Growling Grass Frog
962,8,Pseudomys novaehollandiae,New Holland Mouse
963,8,Botaurus poiciloptilus,Australasian Bittern
963,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
963,8,Neophema chrysogaster,Orange-bellied Parrot
963,8,Pedionomus torquatus,Plains-wanderer
963,8,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
963,8,Hyridella glenelgensis,Glenelg Freshwater Mussel
963,8,Litoria raniformis,Growling Grass Frog
964,8,Botaurus poiciloptilus,Australasian Bittern
964,8,Zanda latirostris,Carnaby's Black Cockatoo
964,8,Atrichornis clamosus,Noisy Scrub-bird
964,8,Neophoca cinerea,Australian Sea-lion
964,8,Dasyurus geoffroii,Chuditch
964,8,Potorous gilbertii,Gilbert's Potoroo
964,8,Setonix brachyurus,Quokka
964,8,Pseudocheirus occidentalis,Western Ringtail Possum
965,8,Botaurus poiciloptilus,Australasian Bittern
965,8,Zanda latirostris,Carnaby's Black Cockatoo
965,8,Leipoa ocellata,Malleefowl
965,8,Atrichornis clamosus,Noisy Scrub-bird
965,8,Neophoca cinerea,Australian Sea-lion
965,8,Dasyurus geoffroii,Chuditch
965,8,Potorous gilbertii,Gilbert's Potoroo
965,8,Setonix brachyurus,Quokka
966,8,Botaurus poiciloptilus,Australasian Bittern
966,8,Zanda latirostris,Carnaby's Black Cockatoo
966,8,Numenius madagascariensis,Eastern Curlew
966,8,Leipoa ocellata,Malleefowl
966,8,Neophoca cinerea,Australian Sea-lion
966,8,Dasyurus geoffroii,Chuditch
966,8,Pseudocheirus occidentalis,Western Ringtail Possum
966,8,Chelonia mydas,Gre
967,8,Erythrotriorchis radiatus,Red Goshawk
967,8,Anthochaera phrygia,Regent Honeyeater
967,8,Lathamus discolor,Swift Parrot
967,8,Antrophyum austroqueenslandicum,Border Ranges Lined Fern
967,8,Rhodomyrtus psidioides,Native Guava
967,8,Phyllodes imperialis smithersi,Pink Underwing Moth
967,8,Petrogale penicillata,Brush-tailed Rock-wallaby
967,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
968,6,Numenius madagascariensis,Eastern Curlew
968,6,Polytelis alexandrae,Princess Parrot
968,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
968,6,Chelonia mydas,Green Turtle
968,6,Aipysurus apraefrontalis,Short-nosed Seasnake
968,6,Pristis pristis,Freshwater Sawfish
969,6,Numenius madagascariensis,Eastern Curlew
969,6,Psephotus chrysopterygius,Golden-shouldered Parrot
969,6,Erythrotriorchis radiatus,Red Goshawk
969,6,Chelonia mydas,Green Turtle
969,6,Lepidochelys olivacea,Olive Ridley Turtle
969,6,Pristis pristis,Freshwater Sawfish
970,6,Numenius madagascariensis,Eastern Curlew
970,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
970,6,Acanthiza pusilla magnirostris,King Island Brown Thornbill
970,6,Acanthornis magna greeniana,King Island Scrubtit
970,6,Neophema chrysogaster,Orange-bellied Parrot
970,6,Lathamus discolor,Swift Parrot
971,6,Numenius madagascariensis,Eastern Curlew
971,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
971,6,Acanthiza pusilla magnirostris,King Island Brown Thornbill
971,6,Acanthornis magna greeniana,King Island Scrubtit
971,6,Neophema chrysogaster,Orange-bellied Parrot
971,6,Litoria raniformis,Growling Grass Frog
972,6,Numenius madagascariensis,Eastern Curlew
972,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
972,6,Lathamus discolor,Swift Parrot
972,6,Litoria raniformis,Growling Grass Frog
972,6,Dasyurus viverrinus,Eastern Quoll
972,6,Pseudomys novaehollandiae,New Holland Mouse
973,6,Numenius madagascariensis,Eastern Curlew
973,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
973,6,Leipoa ocellata,Malleefowl
973,6,Pedionomus torquatus,Plains-wanderer
973,6,Neophoca cinerea,Australian Sea-lion
973,6,Macrotis lagotis,Greater Bilby
974,6,Numenius madagascariensis,Eastern Curlew
974,6,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
974,6,Dasyurus hallucatus,Northern Quoll
974,6,Chelonia mydas,Green Turtle
974,6,Lepidochelys olivacea,Olive Ridley Turtle
974,6,Aipysurus apraefrontalis,Short-nosed Seasnake
975,7,Botaurus poiciloptilus,Australasian Bittern
975,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
975,7,Lathamus discolor,Swift Parrot
975,7,Phebalium daviesii,Davies' Waxflower
975,7,Litoria raniformis,Growling Grass Frog
975,7,Dasyurus viverrinus,Eastern Quoll
975,7,Pseudomys novaehollandiae,New Holland Mo
976,7,Botaurus poiciloptilus,Australasian Bittern
976,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
976,7,Leipoa ocellata,Malleefowl
976,7,Neophema chrysogaster,Orange-bellied Parrot
976,7,Litoria raniformis,Growling Grass Frog
976,7,Neophoca cinerea,Australian Sea-lion
976,7,Craterocephalus fluviatilis,Murray Hardyhe
977,7,Botaurus poiciloptilus,Australasian Bittern
977,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
977,7,Neophema chrysogaster,Orange-bellied Parrot
977,7,Anthochaera phrygia,Regent Honeyeater
977,7,Lathamus discolor,Swift Parrot
977,7,Litoria raniformis,Growling Grass Frog
977,7,Miniopterus orianae bassanii,Southern Bent-wing Bat
978,7,Botaurus poiciloptilus,Australasian Bittern
978,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
978,7,Neophema chrysogaster,Orange-bellied Parrot
978,7,Anthochaera phrygia,Regent Honeyeater
978,7,Lathamus discolor,Swift Parrot
978,7,Litoria raniformis,Growling Grass Frog
978,7,Pseudomys novaehollandiae,New Holland Mouse
979,7,Botaurus poiciloptilus,Australasian Bittern
979,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
979,7,Neophema chrysogaster,Orange-bellied Parrot
979,7,Anthochaera phrygia,Regent Honeyeater
979,7,Lathamus discolor,Swift Parrot
979,7,Megascolides australis,Giant Gippsland Earthworm
979,7,Litoria raniformis,Growling Grass Frog
980,7,Botaurus poiciloptilus,Australasian Bittern
980,7,Thinornis cucullatus cucullatus,Eastern Hooded Plover
980,7,Neophema chrysogaster,Orange-bellied Parrot
980,7,Pedionomus torquatus,Plains-wanderer
980,7,Anthochaera phrygia,Regent Honeyeater
980,7,Lathamus discolor,Swift Parrot
980,7,Litoria raniformis,Growling Grass Frog
981,6,Erythrotriorchis radiatus,Red Goshawk
981,6,Anthochaera phrygia,Regent Honeyeater
981,6,Lathamus discolor,Swift Parrot
981,6,Rhodomyrtus psidioides,Native Guava
981,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
981,6,Dasyurus hallucatus,Northern Quoll
982,6,Erythrotriorchis radiatus,Red Goshawk
982,6,Anthochaera phrygia,Regent Honeyeater
982,6,Lathamus discolor,Swift Parrot
982,6,Rhodomyrtus psidioides,Native Guava
982,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
982,6,Pseudomys novaehollandiae,New Holland Mouse
983,6,Erythrotriorchis radiatus,Red Goshawk
983,6,Anthochaera phrygia,Regent Honeyeater
983,6,Lathamus discolor,Swift Parrot
983,6,Rhodomyrtus psidioides,Native Guava
983,6,Phyllodes imperialis smithersi,Pink Underwing Moth
983,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
984,6,Erythrotriorchis radiatus,Red Goshawk
984,6,Anthochaera phrygia,Regent Honeyeater
984,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
984,6,Dasyurus hallucatus,Northern Quoll
984,6,Delma torquata,Adorned Delma
984,6,Chelonia mydas,Green Turtle
985,6,Erythrotriorchis radiatus,Red Goshawk
985,6,Anthochaera phrygia,Regent Honeyeater
985,6,Philoria kundagungan,Mountain Frog
985,6,Petrogale penicillata,Brush-tailed Rock-wallaby
985,6,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
985,6,Pseudomys novaehollandiae,New Holland Mouse
986,8,Botaurus poiciloptilus,Australasian Bittern
986,8,Numenius madagascariensis,Eastern Curlew
986,8,Anthochaera phrygia,Regent Honeyeater
986,8,Lathamus discolor,Swift Parrot
986,8,Rhodomyrtus psidioides,Native Guava
986,8,Phyllodes imperialis smithersi,Pink Underwing Moth
986,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
986,8,Pseudomys novaehollandiae,New Holland Mouse
987,8,Botaurus poiciloptilus,Australasian Bittern
987,8,Numenius madagascariensis,Eastern Curlew
987,8,Anthochaera phrygia,Regent Honeyeater
987,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
987,8,Hippocampus whitei,White's Seahorse
987,8,Chelonia mydas,Green Turtle
987,8,Lepidochelys olivacea,Olive Ridley Turtl
988,8,Botaurus poiciloptilus,Australasian Bittern
988,8,Numenius madagascariensis,Eastern Curlew
988,8,Anthochaera phrygia,Regent Honeyeater
988,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
988,8,Pseudomys novaehollandiae,New Holland Mouse
988,8,Hippocampus whitei,White's Seahorse
988,8,Chelonia mydas,Gree
989,8,Botaurus poiciloptilus,Australasian Bittern
989,8,Numenius madagascariensis,Eastern Curlew
989,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
989,8,Neophema chrysogaster,Orange-bellied Parrot
989,8,Pedionomus torquatus,Plains-wanderer
989,8,Lathamus discolor,Swift Parrot
989,8,Litoria raniformis,Growling Grass Frog
989,8,Lachnagrostis adamsonii,Ad
990,8,Botaurus poiciloptilus,Australasian Bittern
990,8,Numenius madagascariensis,Eastern Curlew
990,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
990,8,Neophema chrysogaster,Orange-bellied Parrot
990,8,Pedionomus torquatus,Plains-wanderer
990,8,Litoria raniformis,Growling Grass Frog
990,8,Neophoca cinerea,Australian Sea-
991,8,Botaurus poiciloptilus,Australasian Bittern
991,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
991,8,Anthochaera phrygia,Regent Honeyeater
991,8,Lathamus discolor,Swift Parrot
991,8,Litoria raniformis,Growling Grass Frog
991,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
992,8,Botaurus poiciloptilus,Australasian Bittern
992,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
992,8,Anthochaera phrygia,Regent Honeyeater
992,8,Lathamus discolor,Swift Parrot
992,8,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
992,8,Pseudomys novaehollandiae,New Holland Mouse
992,8,Chelonia mydas,Green Turtle
992,8,Carcharias taurus (east coast population),Grey Nurse Shark (ea
993,8,Botaurus poiciloptilus,Australasian Bittern
993,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
993,8,Neophema chrysogaster,Orange-bellied Parrot
993,8,Anthochaera phrygia,Regent Honeyeater
993,8,Lathamus discolor,Swift Parrot
993,8,Litoria raniformis,Growling Grass Frog
993,8,Pseudomys novaehollandiae,New Holland Mouse
993,8,Miniopterus orianae bassanii,Southern
994,8,Botaurus poiciloptilus,Australasian Bittern
994,8,Thinornis cucullatus cucullatus,Eastern Hooded Plover
994,8,Neophema chrysogaster,Orange-bellied Parrot
994,8,Pedionomus torquatus,Plains-wanderer
994,8,Anthochaera phrygia,Regent Honeyeater
994,8,Lathamus discolor,Swift Parrot
994,8,Litoria raniformis,Growling Grass Frog
994,8,Miniopterus orianae bassanii,Southern Bent-wing
995,10,Botaurus poiciloptilus,Australasian Bittern
995,10,Numenius madagascariensis,Eastern Curlew
995,10,Erythrotriorchis radiatus,Red Goshawk
995,10,Lathamus discolor,Swift Parrot
995,10,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
995,10,Dasyurus hallucatus,Northern Quoll
996,6,Botaurus poiciloptilus,Australasian Bittern
996,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
996,6,Neophema chrysogaster,Orange-bellied Parrot
996,6,Lathamus discolor,Swift Parrot
996,6,Litoria raniformis,Growling Grass Frog
996,6,Pseudomys novaehollandiae,New Holland Mouse
997,6,Botaurus poiciloptilus,Australasian Bittern
997,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
997,6,Neophema chrysogaster,Orange-bellied Parrot
997,6,Litoria raniformis,Growling Grass Frog
997,6,Neophoca cinerea,Australian Sea-lion
997,6,Miniopterus orianae bassanii,Southern Bent-wing Bat
998,6,Botaurus poiciloptilus,Australasian Bittern
998,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
998,6,Neophema chrysogaster,Orange-bellied Parrot
998,6,Litoria raniformis,Growling Grass Frog
998,6,Pseudomys novaehollandiae,New Holland Mouse
998,6,Miniopterus orianae bassanii,Southern Bent-wing Bat
999,6,Botaurus poiciloptilus,Australasian Bittern
999,6,Thinornis cucullatus cucullatus,Eastern Hooded Plover
999,6,Neophema chrysogaster,Orange-bellied Parrot
999,6,Pedionomus torquatus,Plains-wanderer
999,6,Anthochaera phrygia,Regent Honeyeater
999,6,Litoria raniformis,Growling Grass Frog
1000,5,Botaurus poiciloptilus,Australasian Bittern
1000,5,Pedionomus torquatus,Plains-wanderer
1000,5,Anthochaera phrygia,Regent Honeyeater
1000,5,Lathamus discolor,Swift Parrot
1000,5,Craterocephalus fluviatilis,Murray Hardyhead
1001,5,Botaurus poiciloptilus,Australasian Bittern
1001,5,Pedionomus torquatus,Plains-wanderer
1001,5,Anthochaera phrygia,Regent Honeyeater
1001,5,Lathamus discolor,Swift Parrot
1001,5,Litoria raniformis,Growling Grass Frog
1002,5,Botaurus poiciloptilus,Australasian Bittern
1002,5,Pedionomus torquatus,Plains-wanderer
1002,5,Anthochaera phrygia,Regent Honeyeater
1002,5,Lathamus discolor,Swift Parrot
1002,5,Paralucia pyrodiscus lucida,Eltham Copper Butterfly
1003,5,Botaurus poiciloptilus,Australasian Bittern
1003,5,Pedionomus torquatus,Plains-wanderer
1003,5,Anthochaera phrygia,Regent Honeyeater
1003,5,Lathamus discolor,Swift Parrot
1003,5,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
1004,5,Botaurus poiciloptilus,Australasian Bittern
1004,5,Pedionomus torquatus,Plains-wanderer
1004,5,Anthochaera phrygia,Regent Honeyeater
1004,5,Lathamus discolor,Swift Parrot
1004,5,Senecio behrianus,Stiff Groundsel
1005,5,Botaurus poiciloptilus,Australasian Bittern
1005,5,Anthochaera phrygia,Regent Honeyeater
1005,5,Lathamus discolor,Swift Parrot
1005,5,Litoria raniformis,Growling Grass Frog
1005,5,Gymnobelideus leadbeateri,Leadbeater's Possum
1006,5,Botaurus poiciloptilus,Australasian Bittern
1006,5,Anthochaera phrygia,Regent Honeyeater
1006,5,Lathamus discolor,Swift Parrot
1006,5,Litoria raniformis,Growling Grass Frog
1006,5,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
1007,5,Botaurus poiciloptilus,Australasian Bittern
1007,5,Anthochaera phrygia,Regent Honeyeater
1007,5,Lathamus discolor,Swift Parrot
1007,5,Litoria raniformis,Growling Grass Frog
1007,5,Pseudomys novaehollandiae,New Holland Mouse
1008,5,Botaurus poiciloptilus,Australasian Bittern
1008,5,Anthochaera phrygia,Regent Honeyeater
1008,5,Lathamus discolor,Swift Parrot
1008,5,Megascolides australis,Giant Gippsland Earthworm
1008,5,Litoria raniformis,Growling Grass Frog
1009,5,Botaurus poiciloptilus,Australasian Bittern
1009,5,Anthochaera phrygia,Regent Honeyeater
1009,5,Lathamus discolor,Swift Parrot
1009,5,Petrogale penicillata,Brush-tailed Rock-wallaby
1009,5,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
1010,5,Botaurus poiciloptilus,Australasian Bittern
1010,5,Thinornis cucullatus cucullatus,Eastern Hooded Plover
1010,5,Leipoa ocellata,Malleefowl
1010,5,Neophema chrysogaster,Orange-bellied Parrot
