FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
90,2,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,79309147.90625,36512.8206574983
91,2,747,Neophema chrysogaster,Orange-bellied Parrot,274179932.03125,100741.184922719
91,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",274179932.03125,100741.184922719
92,2,747,Neophema chrysogaster,Orange-bellied Parrot,755113062.210938,131063.132683492
92,2,83504,Zearaja maugeana,"Maugean Skate, Port Davey Skate",755113062.210938,131063.132683492
93,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",29741195426.1914,1861052.31144921
93,2,1765,Chelonia mydas,Green Turtle,29741195426.1914,1861052.31144921
94,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",76345646.8867188,38564.9363794327
94,2,87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,76345646.8867188,38564.9363794327
95,2,942,Erythrotriorchis radiatus,Red Goshawk,3900747315.82422,1194007.67211993
95,2,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",3900747315.82422,1194007.67211993
96,2,942,Erythrotriorchis radiatus,Red Goshawk,779983382.789063,228677.26875539
96,2,185,Pteropus conspicillatus,Spectacled Flying-fox,779983382.789063,228677.26875539
97,2,942,Erythrotriorchis radiatus,Red Goshawk,18228441307.8438,3600761.3248482
97,2,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,18228441307.8438,3600761.3248482
98,2,744,Lathamus discolor,Swift Parrot,6841983949.78906,971702.376497375
98,2,64415,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",6841983949.78906,971702.376497375
99,2,744,Lathamus discolor,Swift Parrot,77684791.6484375,39046.1261651601
99,2,267,Burramys parvus,Mountain Pygmy-possum,77684791.6484375,39046.1261651601
100,2,744,Lathamus discolor,Swift Parrot,14754415403.5156,2282183.94359296
100,2,333,Dasyurus viverrinus,"Eastern Quoll, Luaner",14754415403.5156,2282183.94359296
101,2,744,Lathamus discolor,Swift Parrot,458615815.296875,156692.533086993
101,2,26167,Galaxias fontanus,Swan Galaxias,458615815.296875,156692.533086993
102,2,744,Lathamus discolor,Swift Parrot,1216888689.67969,287895.839319689
102,2,273,Gymnobelideus leadbeateri,Leadbeater's Possum,1216888689.67969,287895.839319689
103,2,744,Lathamus discolor,Swift Parrot,6661354023.63281,1459355.87141017
103,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",6661354023.63281,1459355.87141017
104,2,744,Lathamus discolor,Swift Parrot,79007088.84375,50653.209427369
104,2,64420,Megascolides australis,Giant Gippsland Earthworm,79007088.84375,50653.209427369
105,2,744,Lathamus discolor,Swift Parrot,13398399145.6523,2898238.80563368
105,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",13398399145.6523,2898238.80563368
106,2,934,Leipoa ocellata,Malleefowl,1006284993.6875,519623.715644638
106,2,82338,Anthochaera phrygia,Regent Honeyeater,1006284993.6875,519623.715644638
107,2,934,Leipoa ocellata,Malleefowl,2390230655.77344,513379.905000857
107,2,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,2390230655.77344,513379.905000857
108,2,934,Leipoa ocellata,Malleefowl,2284216862.07031,451508.552315137
108,2,1765,Chelonia mydas,Green Turtle,2284216862.07031,451508.552315137
109,2,934,Leipoa ocellata,Malleefowl,487966146.144531,232708.895561534
109,2,56791,Craterocephalus fluviatilis,Murray Hardyhead,487966146.144531,232708.895561534
110,2,934,Leipoa ocellata,Malleefowl,12093823845.1328,1409976.39430797
110,2,330,Dasyurus geoffroii,"Chuditch, Western Quoll",12093823845.1328,1409976.39430797
111,2,1001,Botaurus poiciloptilus,Australasian Bittern,4099482882.40625,807718.557721715
111,2,90381,Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",4099482882.40625,807718.557721715
112,2,1001,Botaurus poiciloptilus,Australasian Bittern,413318357.359375,196979.840003132
112,2,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",413318357.359375,196979.840003132
113,2,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,154309440.050781,86131.5060753061
113,2,744,Lathamus discolor,Swift Parrot,154309440.050781,86131.5060753061
114,2,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,230616752.523438,99778.1153037541
114,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",230616752.523438,99778.1153037541
115,2,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,424096688.335938,177667.100650898
115,2,87645,Miniopterus orianae bassanii,Southern Bent-wing Bat,424096688.335938,177667.100650898
116,2,1765,Chelonia mydas,Green Turtle,29925433381.998,3980860.43823373
116,2,1115,Aipysurus apraefrontalis,Short-nosed Seasnake,29925433381.998,3980860.43823373
117,2,1765,Chelonia mydas,Green Turtle,35498140652.9883,3200556.46325152
117,2,68751,Carcharias taurus (east coast population),Grey Nurse Shark (east coast population),35498140652.9883,3200556.46325152
118,2,1765,Chelonia mydas,Green Turtle,428541405335.578,28116064.8091842
118,2,1767,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",428541405335.578,28116064.8091842
119,2,1765,Chelonia mydas,Green Turtle,12366560570.7676,1998468.81479042
119,2,60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",12366560570.7676,1998468.81479042
120,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",1146352389,620794.7056367
120,2,942,Erythrotriorchis radiatus,Red Goshawk,1146352389,620794.7056367
121,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",2726625525.05859,947389.88350202
121,2,934,Leipoa ocellata,Malleefowl,2726625525.05859,947389.88350202
122,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",1010367230.93359,366658.639653112
122,2,282,Macrotis lagotis,Greater Bilby,1010367230.93359,366658.639653112
123,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",1006411243.25391,430416.745576073
123,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",1006411243.25391,430416.745576073
124,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",36825135.8007813,24364.182322389
124,2,906,Pedionomus torquatus,Plains-wanderer,36825135.8007813,24364.182322389
125,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",66160022.5585938,34150.4091989231
125,2,59350,Pezoporus occidentalis,Night Parrot,66160022.5585938,34150.4091989231
126,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",34189682.7539063,23417.1950201091
126,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",34189682.7539063,23417.1950201091
127,2,282,Macrotis lagotis,Greater Bilby,28793008523.8242,1284923.31046751
127,2,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,28793008523.8242,1284923.31046751
128,2,449,Manorina melanotis,Black-eared Miner,37535217.859375,24619.3334040996
128,2,56791,Craterocephalus fluviatilis,Murray Hardyhead,37535217.859375,24619.3334040996
129,2,449,Manorina melanotis,Black-eared Miner,52485902378.1602,3670629.53338883
129,2,934,Leipoa ocellata,Malleefowl,52485902378.1602,3670629.53338883
130,2,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",7538941644.92578,2037084.73553199
130,2,22,Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",7538941644.92578,2037084.73553199
131,2,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",37512838.1445313,24611.2917886903
131,2,847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",37512838.1445313,24611.2917886903
132,2,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",37270276.7695313,24524.1331372806
132,2,84650,Pezoporus flaviventris,"Western Ground Parrot, Kyloring",37270276.7695313,24524.1331372806
133,2,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",252440894.238281,118644.460641531
133,2,64945,Philotheca wonganensis,Wongan Eriostemon,252440894.238281,118644.460641531
134,3,82408,Accipiter hiogaster natalis,Christmas Island Goshawk,504097473.477539,100945.882737968
134,3,1765,Chelonia mydas,Green Turtle,504097473.477539,100945.882737968
134,3,1767,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",504097473.477539,100945.882737968
135,2,906,Pedionomus torquatus,Plains-wanderer,1454781561.88281,463719.464813129
135,2,85104,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",1454781561.88281,463719.464813129
136,2,906,Pedionomus torquatus,Plains-wanderer,1244061506.67969,141295.659733427
